code	type	duration	participants-number	participants	participants-relationship	moderator	topic	year	collection-point
BOA1001	office-hours	00:37:20	2	BO026;BO020	asymmetric	no	free	2017/18	BO
BOA1002	office-hours	00:08:34	6	BO026;BO032;BO028;BO029;BO030;BO031	asymmetric	no	free	2017/18	BO
BOA1003	office-hours	00:02:02	2	BO026;BO032	asymmetric	no	free	2017/18	BO
BOA1004	office-hours	00:07:27	2	BO026;BO027	asymmetric	no	free	2017/18	BO
BOA1005	office-hours	00:09:26	2	BO026;BO033	asymmetric	no	free	2017/18	BO
BOA1006	office-hours	00:08:15	2	BO026;BO034	asymmetric	no	free	2017/18	BO
BOA1007	office-hours	00:05:01	2	BO026;BO035	asymmetric	no	free	2017/18	BO
BOA1008	office-hours	00:02:29	2	BO026;BO036	asymmetric	no	free	2017/18	BO
BOA1009	office-hours	00:07:19	2	BO026;BO037	asymmetric	no	free	2017/18	BO
BOA1010	office-hours	00:21:26	3	BO026;BO038;BO039	asymmetric	no	free	2017/18	BO
BOA1011	office-hours	00:04:15	3	BO026;BO040;BO041	asymmetric	no	free	2017/18	BO
BOA1012	office-hours	00:03:35	2	BO026;BO042	asymmetric	no	free	2017/18	BO
BOA1013	office-hours	00:16:47	2	BO026;BO043	asymmetric	no	free	2017/18	BO
BOA1014	office-hours	00:04:15	2	BO026;BO044	asymmetric	no	free	2017/18	BO
BOA1015	office-hours	00:09:11	2	BO026;BO045	asymmetric	no	free	2017/18	BO
BOA1016	office-hours	00:10:14	2	BO082;BO083	asymmetric	no	free	2017/18	BO
BOA1017	office-hours	00:09:10	2	BO082;BO084	asymmetric	no	free	2017/18	BO
BOA1018	office-hours	00:07:53	2	BO082;BO085	asymmetric	no	free	2017/18	BO
BOA1025	office-hours	00:04:32	3	BO117;BO005;TO999	asymmetric	no	free	2017/18	BO
BOA3001	free-conversation	01:08:22	2	BO002;BO003	symmetric	no	free	2017/18	BO
BOA3002	free-conversation	00:18:17	4	BO007;BO008;BO009;BO010	symmetric	no	free	2017/18	BO
BOA3003	free-conversation	01:20:01	4	BO016;BO017;BO018;BO019	symmetric	no	free	2017/18	BO
BOA3004	free-conversation	01:15:39	4	BO021;BO046;BO048;BO047	symmetric	no	free	2017/18	BO
BOA3006	free-conversation	00:09:45	4	BO021;BO048;BO071;BO072	symmetric	no	free	2017/18	BO
BOA3007	free-conversation	00:10:30	4	BO021;BO048;BO071;BO072	symmetric	no	free	2017/18	BO
BOA3010	free-conversation	01:17:16	2	BO095;BO096	symmetric	no	free	2017/18	BO
BOA3011	free-conversation	00:15:17	2	BO095;BO097	symmetric	no	free	2017/18	BO
BOA3012	free-conversation	00:17:26	2	BO095;BO097	symmetric	no	free	2017/18	BO
BOA3013	free-conversation	00:16:21	2	BO095;BO097	symmetric	no	free	2017/18	BO
BOA3015	free-conversation	00:23:11	2	BO115;BO086	symmetric	no	free	2017/18	BO
BOA3016	free-conversation	00:14:38	2	BO139;BO148	symmetric	no	free	2019	BO
BOA3017	free-conversation	00:30:22	4	BO139;BO145;BO146;BO147	symmetric	no	free	2019	BO
BOA3018	free-conversation	00:27:14	2	BO139;BO145	symmetric	no	free	2019	BO
BOA3019	free-conversation	00:23:15	4	BO149;BO150;BO151;BO152	symmetric	no	free	2019	BO
BOA3020	free-conversation	00:22:52	3	BO152;BO153;BO154	symmetric	no	free	2019	BO
BOA3021	free-conversation	01:11:38	4	BO155;BO156;BO157;BO158	symmetric	no	free	2019	BO
BOC1001	exam	00:14:36	2	BO087;BO088	asymmetric	yes	fixed	2017/18	BO
BOC1002	exam	00:28:44	2	BO087;BO089	asymmetric	yes	fixed	2017/18	BO
BOC1003	exam	00:24:46	2	BO087;BO090	asymmetric	yes	fixed	2017/18	BO
BOC1004	exam	00:20:03	2	BO087;BO091	asymmetric	yes	fixed	2017/18	BO
BOC1005	exam	00:26:22	2	BO104;BO105	asymmetric	yes	fixed	2017/18	BO
BOC1006	exam	00:23:00	2	BO092;BO143	asymmetric	yes	fixed	2017/18	BO
BOC1007	exam	00:25:22	2	BO104;BO144	asymmetric	yes	fixed	2017/18	BO
BOC1008	exam	00:14:20	2	BO117;BO141	asymmetric	yes	fixed	2017/18	BO
BOC1009	exam	00:12:21	2	BO117;BO142	asymmetric	yes	fixed	2017/18	BO
BOD1001	lecture	01:36:24	2	BO013;TO999	asymmetric	no	fixed	2017/18	BO
BOD1003	lecture	01:24:11	1	BO092	asymmetric	no	fixed	2017/18	BO
BOD1004	lecture	01:02:06	1	BO093	asymmetric	no	fixed	2017/18	BO
BOD1005	lecture	01:24:55	1	BO094	asymmetric	no	fixed	2017/18	BO
BOD1006	lecture	01:31:07	1	BO099	asymmetric	no	fixed	2017/18	BO
BOD1007	lecture	01:04:12	1	BO100	asymmetric	no	fixed	2017/18	BO
BOD1009	lecture	01:01:01	1	BO102	asymmetric	no	fixed	2017/18	BO
BOD1010	lecture	01:49:14	1	BO103	asymmetric	no	fixed	2017/18	BO
BOD1011	lecture	01:26:29	1	BO112	asymmetric	no	fixed	2017/18	BO
BOD2001	semistructured-interview	00:16:00	2	TO999;BO014	symmetric	yes	fixed	2017/18	BO
BOD2003	semistructured-interview	00:19:25	2	BO057;BO070	symmetric	yes	fixed	2017/18	BO
BOD2005	semistructured-interview	00:33:08	3	BO021;BO073;BO072	symmetric	yes	fixed	2017/18	BO
BOD2006	semistructured-interview	00:18:57	2	BO049;BO051	symmetric	yes	fixed	2017/18	BO
BOD2007	semistructured-interview	00:28:12	2	BO049;BO052	symmetric	yes	fixed	2017/18	BO
BOD2008	semistructured-interview	00:30:30	2	BO049;BO053	symmetric	yes	fixed	2017/18	BO
BOD2009	semistructured-interview	00:23:42	2	BO054;BO056	symmetric	yes	fixed	2017/18	BO
BOD2010	semistructured-interview	00:24:57	2	BO049;BO074	symmetric	yes	fixed	2017/18	BO
BOD2011	semistructured-interview	00:22:52	2	BO049;BO075	symmetric	yes	fixed	2017/18	BO
BOD2013	semistructured-interview	00:18:28	2	BO115;BO098	symmetric	yes	fixed	2017/18	BO
BOD2014	semistructured-interview	00:25:01	2	BO115;BO113	symmetric	yes	fixed	2017/18	BO
BOD2015	semistructured-interview	00:22:14	2	BO115;BO114	symmetric	yes	fixed	2017/18	BO
BOD2016	semistructured-interview	00:09:52	2	BO119;BO120	symmetric	yes	fixed	2017/18	BO
BOD2017	semistructured-interview	00:25:10	2	BO119;BO121	symmetric	yes	fixed	2017/18	BO
BOD2018	semistructured-interview	00:28:08	2	BO118;BO140	symmetric	yes	fixed	2017/18	BO
BOD2019	semistructured-interview	00:32:02	2	BO119;BO122	symmetric	yes	fixed	2017/18	BO
TOA1001	office-hours	00:36:22	2	TO026;TO027	asymmetric	no	free	2017/18	TO
TOA1002	office-hours	00:14:01	2	TO026;TO028	asymmetric	no	free	2017/18	TO
TOA1003	office-hours	01:02:39	3	TO065;TO061;TO071	asymmetric	no	free	2019	TO
TOA1004	office-hours	00:37:16	3	TO074;TO072;TO073	asymmetric	no	free	2019	TO
TOA1005	office-hours	00:32:56	2	TO075;TO076	asymmetric	no	free	2019	TO
TOA1006	office-hours	00:45:54	3	TO074;TO078;TO079	asymmetric	no	free	2019	TO
TOA3001	free-conversation	00:31:46	3	TO029;TO033;TO034	symmetric	no	free	2017/18	TO
TOA3002	free-conversation	00:12:22	2	TO029;TO035	symmetric	no	free	2017/18	TO
TOA3003	free-conversation	00:26:41	3	TO029;TO036;TO037	symmetric	no	free	2017/18	TO
TOA3004	free-conversation	00:34:49	4	TO031;TO038;TO039;TO040	symmetric	no	free	2017/18	TO
TOA3005	free-conversation	00:31:26	2	TO030;T0032	symmetric	no	free	2017/18	TO
TOA3006	free-conversation	00:21:21	2	TO030;TO054	symmetric	no	free	2017/18	TO
TOA3007	free-conversation	00:08:10	3	TO048;TO049;TO050	symmetric	no	free	2017/18	TO
TOA3008	free-conversation	01:31:46	4	TO048;TO050;TO051;TO052	symmetric	no	free	2017/18	TO
TOA3009	free-conversation	00:22:29	3	TO048;TO052;TO053	symmetric	no	free	2017/18	TO
TOA3010	free-conversation	00:27:13	2	TO085;TO086	symmetric	no	free	2017/18	TO
TOA3011	free-conversation	00:23:54	4	TO085;TO086;TO087;TO088	symmetric	no	free	2019	TO
TOA3012	free-conversation	00:18:02	4	TO085;TO089;TO090;TO091	symmetric	no	free	2019	TO
TOA3013	free-conversation	00:19:19	4	TO085;TO092;TO093;TO094	symmetric	no	free	2019	TO
TOA3014	free-conversation	00:13:06	3	TO085;TO091;TO095	symmetric	no	free	2019	TO
TOC1001	exam	00:25:01	2	TO002;TO003	asymmetric	yes	fixed	2017/18	TO
TOC1002	exam	00:20:06	2	TO006;TO007	asymmetric	yes	fixed	2017/18	TO
TOC1003	exam	00:17:47	2	TO006;TO008	asymmetric	yes	fixed	2017/18	TO
TOC1004	exam	01:08:11	3	TO018;TO019;TO020	asymmetric	yes	fixed	2017/18	TO
TOC1005	exam	00:24:56	2	TO024;TO021	asymmetric	yes	fixed	2017/18	TO
TOC1006	exam	00:13:52	2	TO024;TO022	asymmetric	yes	fixed	2017/18	TO
TOC1007	exam	00:20:55	2	TO024;TO023	asymmetric	yes	fixed	2017/18	TO
TOD1002	lecture	01:29:28	1	TO004	asymmetric	no	fixed	2017/18	TO
TOD1005	lecture	01:02:06	1	TO017	asymmetric	no	fixed	2017/18	TO
TOD1005bis	lecture	00:50:44	1	TO017	asymmetric	no	fixed	2017/18	TO
TOD1008	lecture	01:33:50	1	TO062	asymmetric	no	fixed	2019	TO
TOD1014	lecture	02:53:11	1	TO068	asymmetric	no	fixed	2019	TO
TOD1015	lecture	02:16:58	1	TO069	asymmetric	no	fixed	2019	TO
TOD1016	lecture	01:37:51	1	TO070	asymmetric	no	fixed	2019	TO
TOD1017	lecture	01:41:25	1	TO077	asymmetric	no	fixed	2019	TO
TOD2001	semistructured-interview	00:22:04	2	TO999;TO082	symmetric	yes	fixed	2017/18	TO
TOD2002	semistructured-interview	00:16:33	2	TO999;TO081	symmetric	yes	fixed	2017/18	TO
TOD2003	semistructured-interview	00:18:18	2	TO999;TO083	symmetric	yes	fixed	2017/18	TO
TOD2004	semistructured-interview	00:11:02	2	TO999;TO084	symmetric	yes	fixed	2017/18	TO
TOD2005	semistructured-interview	00:31:41	2	TO055;TO041	symmetric	yes	fixed	2017/18	TO
TOD2006	semistructured-interview	00:13:19	2	TO999;TO042	symmetric	yes	fixed	2017/18	TO
TOD2007	semistructured-interview	00:30:21	2	TO055;TO043	symmetric	yes	fixed	2017/18	TO
TOD2008	semistructured-interview	00:29:54	2	TO055;TO044	symmetric	yes	fixed	2017/18	TO
TOD2009	semistructured-interview	00:30:27	2	TO055;TO045	symmetric	yes	fixed	2017/18	TO
TOD2010	semistructured-interview	00:29:10	2	TO055;TO046	symmetric	yes	fixed	2017/18	TO
TOD2011	semistructured-interview	00:31:38	2	TO055;TO047	symmetric	yes	fixed	2017/18	TO
TOD2012	semistructured-interview	00:45:32	2	TO071;TO056	symmetric	yes	fixed	2019	TO
TOD2013	semistructured-interview	01:08:28	3	TO071;TO057;TO058	symmetric	yes	fixed	2019	TO
TOD2014	semistructured-interview	00:27:40	3	TO071;TO059;TO060	symmetric	yes	fixed	2019	TO
TOD2015	semistructured-interview	00:30:52	2	TO071;TO073	symmetric	yes	fixed	2019	TO
TOD2016	semistructured-interview	00:30:39	2	TO071;TO080	symmetric	yes	fixed	2019	TO